"응답자유형별(1)",응답자유형별(2),2021,2021,2021,2021,2021,2021,2021
"응답자유형별(1)",응답자유형별(2),5시간 미만 (%),5~6시간 (%),6~7시간 (%),7~8시간 (%),8~9시간 (%),9시간 이상 (%),평균 (시간)
"전체",소계,9.6,15.1,17.9,19.0,20.3,18.0,7.2
"성별",남자,7.3,13.5,17.8,19.4,22.1,19.8,7.3
"성별",여자,12.2,16.9,18.0,18.6,18.3,16.0,7.0
"학교급",초등학교,0.7,1.8,4.3,14.0,33.5,45.7,8.7
"학교급",중학교,6.2,12.2,22.1,30.0,22.6,6.8,7.1
"학교급",고등학교,22.0,31.5,27.4,13.2,4.7,1.2,5.8
"고교유형",일반계고,23.4,34.6,26.7,11.1,3.4,0.8,5.7
"고교유형",특성화계고,16.6,19.1,30.1,21.5,9.8,2.9,6.3
"지역규모",대도시,11.3,15.8,18.5,19.3,18.6,16.6,7.0
"지역규모",중소도시,8.1,13.0,17.0,19.6,22.7,19.6,7.3
"지역규모",읍면지역,10.7,22.1,19.9,15.8,15.7,15.7,6.9
"가족유형",양부모가정,9.6,15.1,17.6,18.8,20.7,18.1,7.2
"가족유형",한부모가정,13.0,18.8,23.3,20.2,13.6,11.0,6.7
"가족유형",조손가정,0.8,4.1,14.3,22.6,25.7,32.5,8.2
"가족유형",기타,4.5,6.8,13.5,24.2,18.9,32.2,7.8
"학업성적",상,5.7,12.0,15.1,18.5,24.1,24.5,7.6
"학업성적",중,9.4,14.9,17.9,19.3,20.3,18.3,7.2
"학업성적",하,16.8,20.9,22.7,19.4,13.8,6.4,6.4
"경제적 수준",상,7.6,12.7,15.6,18.2,23.1,22.7,7.4
"경제적 수준",중,11.1,17.4,20.2,21.7,16.9,12.6,6.9
"경제적 수준",하,17.7,23.7,25.1,13.6,13.5,6.3,6.3
